Date,Sun_Pos,Sun_Sign,Sun_Ret,Mon_Pos,Mon_Sign,Mon_Ret,Mar_Pos,Mar_Sign,Mar_Ret,Mer_Pos,Mer_Sign,Mer_Ret,Jup_Pos,Jup_Sign,Jup_Ret,Ven_Pos,Ven_Sign,Ven_Ret,Sat_Pos,Sat_Sign,Sat_Ret,Rah_Pos,Rah_Sign,Rah_Ret,Ket_Pos,Ket_Sign,Ket_Ret,Close
01-01-2019,16.08,9,2,18.15,7,2,5.49,12,2,29.44,8,2,17.39,8,2,29.22,7,2,17.15,9,2,2.45,4,1,2.45,10,1,10862.54981
02-01-2019,17.09,9,2,1.08,8,2,6.29,12,2,1.12,9,2,17.51,8,2,0.21,8,2,17.22,9,2,2.43,4,1,2.43,10,1,10792.5
03-01-2019,18.1,9,2,13.46,8,2,7.09,12,2,2.4,9,2,18.04,8,2,1.21,8,2,17.29,9,2,2.41,4,1,2.41,10,1,10672.25
04-01-2019,19.12,9,2,26.12,8,2,7.5,12,2,4.09,9,2,18.16,8,2,2.21,8,2,17.37,9,2,2.38,4,1,2.38,10,1,10727.35
05-01-2019,20.13,9,2,8.28,9,2,8.3,12,2,5.39,9,2,18.29,8,2,3.22,8,2,17.44,9,2,2.37,4,1,2.37,10,1,
06-01-2019,21.14,9,2,20.34,9,2,9.11,12,2,7.09,9,2,18.41,8,2,4.22,8,2,17.51,9,2,2.36,4,1,2.36,10,1,
07-01-2019,22.15,9,2,2.32,10,2,9.51,12,2,8.39,9,2,18.54,8,2,5.24,8,2,17.58,9,2,2.35,4,1,2.35,10,1,10771.8
08-01-2019,23.16,9,2,14.23,10,2,10.32,12,2,10.1,9,2,19.06,8,2,6.25,8,2,18.05,9,2,2.36,4,1,2.36,10,1,10802.15
09-01-2019,24.17,9,2,26.12,10,2,11.12,12,2,11.42,9,2,19.18,8,2,7.27,8,2,18.12,9,2,2.36,4,1,2.36,10,1,10855.15
10-01-2019,25.19,9,2,7.59,11,2,11.53,12,2,13.13,9,2,19.3,8,2,8.3,8,2,18.19,9,2,2.37,4,1,2.37,10,1,10821.6
11-01-2019,26.2,9,2,19.48,11,2,12.33,12,2,14.46,9,2,19.42,8,2,9.32,8,2,18.26,9,2,2.38,4,1,2.38,10,1,10794.95
12-01-2019,27.21,9,2,1.43,12,2,13.14,12,2,16.18,9,2,19.54,8,2,10.35,8,2,18.33,9,2,2.39,4,1,2.39,10,1,
