Date,Sun_Pos,Sun_Sign,Sun_Ret,Mon_Pos,Mon_Sign,Mon_Ret,Mar_Pos,Mar_Sign,Mar_Ret,Mer_Pos,Mer_Sign,Mer_Ret,Jup_Pos,Jup_Sign,Jup_Ret,Ven_Pos,Ven_Sign,Ven_Ret,Sat_Pos,Sat_Sign,Sat_Ret,Rah_Pos,Rah_Sign,Rah_Ret,Ket_Pos,Ket_Sign,Ket_Ret
01-Jan-20,15.52,9,2,22.00,11,2,04.15,8,2,10.15,9,2,12.32,9,2,20.16,10,2,27.16,9,2,14.15,3,1,14.15,9,1
02-Jan-20,16.54,9,2,03.53,12,2,04.55,8,2,11.50,9,2,12.46,9,2,21.30,10,2,27.23,9,2,14.15,3,1,14.15,9,1
03-Jan-20,17.55,9,2,15.45,12,2,05.36,8,2,13.24,9,2,13.00,9,2,22.43,10,2,27.30,9,2,14.15,3,1,14.15,9,1
04-Jan-20,18.56,9,2,27.42,12,2,06.16,8,2,15.00,9,2,13.14,9,2,23.57,10,2,27.37,9,2,14.15,3,1,14.15,9,1
05-Jan-20,19.57,9,2,09.47,1,2,06.56,8,2,16.35,9,2,13.27,9,2,25.10,10,2,27.44,9,2,14.15,3,1,14.15,9,1
06-Jan-20,20.58,9,2,22.06,1,2,07.37,8,2,18.11,9,2,13.41,9,2,26.24,10,2,27.51,9,2,14.16,3,1,14.16,9,1
07-Jan-20,21.59,9,2,04.42,2,2,08.17,8,2,19.48,9,2,13.55,9,2,27.37,10,2,27.58,9,2,14.17,3,1,14.17,9,1
08-Jan-20,23.01,9,2,17.38,2,2,08.58,8,2,21.25,9,2,14.09,9,2,28.50,10,2,28.05,9,2,14.17,3,1,14.17,9,1
09-Jan-20,24.02,9,2,00.57,3,2,09.38,8,2,23.02,9,2,14.22,9,2,00.03,11,2,28.12,9,2,14.18,3,1,14.18,9,1
10-Jan-20,25.03,9,2,14.36,3,2,10.19,8,2,24.39,9,2,14.36,9,2,01.16,11,2,28.19,9,2,14.18,3,1,14.18,9,1
11-Jan-20,26.04,9,2,28.36,3,2,10.59,8,2,26.17,9,2,14.50,9,2,02.29,11,2,28.26,9,2,14.18,3,1,14.18,9,1
12-Jan-20,27.05,9,2,12.52,4,2,11.40,8,2,27.56,9,2,15.04,9,2,03.42,11,2,28.33,9,2,14.17,3,1,14.17,9,1
13-Jan-20,28.06,9,2,27.19,4,2,12.20,8,2,29.35,9,2,15.17,9,2,04.55,11,2,28.40,9,2,14.15,3,1,14.15,9,1
14-Jan-20,29.07,9,2,11.52,5,2,13.01,8,2,01.14,10,2,15.31,9,2,06.08,11,2,28.48,9,2,14.14,3,1,14.14,9,1
15-Jan-20,00.08,10,2,26.24,5,2,13.42,8,2,02.54,10,2,15.45,9,2,07.21,11,2,28.55,9,2,14.12,3,1,14.12,9,1
16-Jan-20,01.09,10,2,10.50,6,2,14.22,8,2,04.34,10,2,15.58,9,2,08.34,11,2,29.02,9,2,14.10,3,1,14.10,9,1
17-Jan-20,02.11,10,2,25.06,6,2,15.03,8,2,06.15,10,2,16.12,9,2,09.46,11,2,29.09,9,2,14.09,3,1,14.09,9,1
18-Jan-20,03.12,10,2,09.10,7,2,15.44,8,2,07.56,10,2,16.25,9,2,10.59,11,2,29.16,9,2,14.09,3,1,14.09,9,1
19-Jan-20,04.13,10,2,23.00,7,2,16.24,8,2,09.38,10,2,16.39,9,2,12.11,11,2,29.23,9,2,14.10,3,1,14.10,9,1
20-Jan-20,05.14,10,2,06.36,8,2,17.05,8,2,11.20,10,2,16.52,9,2,13.24,11,2,29.30,9,2,14.11,3,1,14.11,9,1
21-Jan-20,06.15,10,2,19.59,8,2,17.46,8,2,13.02,10,2,17.06,9,2,14.36,11,2,29.37,9,2,14.13,3,1,14.13,9,1
22-Jan-20,07.16,10,2,03.09,9,2,18.27,8,2,14.45,10,2,17.19,9,2,15.48,11,2,29.44,9,2,14.14,3,1,14.14,9,1
23-Jan-20,08.17,10,2,16.06,9,2,19.08,8,2,16.28,10,2,17.33,9,2,17.01,11,2,29.51,9,2,14.14,3,1,14.14,9,1
24-Jan-20,09.18,10,2,28.52,9,2,19.48,8,2,18.11,10,2,17.46,9,2,18.13,11,2,29.58,9,2,14.14,3,1,14.14,9,1
25-Jan-20,10.19,10,2,11.25,10,2,20.29,8,2,19.55,10,2,18.00,9,2,19.25,11,2,00.06,10,2,14.11,3,1,14.11,9,1
26-Jan-20,11.20,10,2,23.48,10,2,21.10,8,2,21.38,10,2,18.13,9,2,20.37,11,2,00.13,10,2,14.08,3,1,14.08,9,1
27-Jan-20,12.21,10,2,06.00,11,2,21.51,8,2,23.22,10,2,18.26,9,2,21.49,11,2,00.20,10,2,14.03,3,1,14.03,9,1
28-Jan-20,13.22,10,2,18.04,11,2,22.32,8,2,25.05,10,2,18.39,9,2,23.01,11,2,00.27,10,2,13.57,3,1,13.57,9,1
29-Jan-20,14.23,10,2,00.00,12,2,23.13,8,2,26.48,10,2,18.53,9,2,24.12,11,2,00.34,10,2,13.52,3,1,13.52,9,1
30-Jan-20,15.24,10,2,11.52,12,2,23.54,8,2,28.30,10,2,19.06,9,2,25.24,11,2,00.41,10,2,13.47,3,1,13.47,9,1
31-Jan-20,16.25,10,2,23.44,12,2,24.34,8,2,00.11,11,2,19.19,9,2,26.35,11,2,00.47,10,2,13.43,3,1,13.43,9,1
01-Feb-20,17.26,10,2,05.38,1,2,25.15,8,2,01.51,11,2,19.32,9,2,27.47,11,2,00.54,10,2,13.41,3,1,13.41,9,1
02-Feb-20,18.27,10,2,17.40,1,2,25.56,8,2,03.29,11,2,19.45,9,2,28.58,11,2,01.01,10,2,13.40,3,1,13.40,9,1
03-Feb-20,19.28,10,2,29.55,1,2,26.37,8,2,05.06,11,2,19.58,9,2,00.09,12,2,01.08,10,2,13.40,3,1,13.40,9,1
04-Feb-20,20.29,10,2,12.26,2,2,27.18,8,2,06.40,11,2,20.11,9,2,01.20,12,2,01.15,10,2,13.42,3,1,13.42,9,1
05-Feb-20,21.30,10,2,25.20,2,2,27.59,8,2,08.11,11,2,20.24,9,2,02.31,12,2,01.22,10,2,13.44,3,1,13.44,9,1
06-Feb-20,22.30,10,2,08.39,3,2,28.40,8,2,09.39,11,2,20.37,9,2,03.42,12,2,01.29,10,2,13.45,3,1,13.45,9,1
07-Feb-20,23.31,10,2,22.25,3,2,29.22,8,2,11.03,11,2,20.49,9,2,04.53,12,2,01.35,10,2,13.44,3,1,13.44,9,1
08-Feb-20,24.32,10,2,06.37,4,2,00.03,9,2,12.22,11,2,21.02,9,2,06.03,12,2,01.42,10,2,13.42,3,1,13.42,9,1
09-Feb-20,25.33,10,2,21.13,4,2,00.44,9,2,13.36,11,2,21.15,9,2,07.14,12,2,01.49,10,2,13.38,3,1,13.38,9,1
10-Feb-20,26.34,10,2,06.05,5,2,01.25,9,2,14.44,11,2,21.27,9,2,08.24,12,2,01.56,10,2,13.33,3,1,13.33,9,1
11-Feb-20,27.34,10,2,21.06,5,2,02.06,9,2,15.44,11,2,21.40,9,2,09.34,12,2,02.02,10,2,13.26,3,1,13.26,9,1
12-Feb-20,28.35,10,2,06.06,6,2,02.47,9,2,16.37,11,2,21.52,9,2,10.44,12,2,02.09,10,2,13.19,3,1,13.19,9,1
13-Feb-20,29.36,10,2,20.56,6,2,03.28,9,2,17.22,11,2,22.05,9,2,11.54,12,2,02.16,10,2,13.12,3,1,13.12,9,1
14-Feb-20,00.36,11,2,05.29,7,2,04.09,9,2,17.58,11,2,22.17,9,2,13.04,12,2,02.22,10,2,13.08,3,1,13.08,9,1
15-Feb-20,01.37,11,2,19.42,7,2,04.51,9,2,18.24,11,2,22.29,9,2,14.14,12,2,02.29,10,2,13.05,3,1,13.05,9,1
16-Feb-20,02.38,11,2,03.32,8,2,05.32,9,2,18.40,11,2,22.41,9,2,15.23,12,2,02.35,10,2,13.04,3,1,13.04,9,1
17-Feb-20,03.38,11,2,17.00,8,2,06.13,9,2,18.45,11,2,22.54,9,2,16.32,12,2,02.42,10,2,13.05,3,1,13.05,9,1
18-Feb-20,04.39,11,2,00.09,9,2,06.54,9,2,18.40,11,1,23.06,9,2,17.42,12,2,02.48,10,2,13.06,3,1,13.06,9,1
19-Feb-20,05.39,11,2,13.01,9,2,07.36,9,2,18.25,11,1,23.18,9,2,18.51,12,2,02.54,10,2,13.07,3,1,13.07,9,1
20-Feb-20,06.40,11,2,25.38,9,2,08.17,9,2,18.00,11,1,23.30,9,2,19.59,12,2,03.01,10,2,13.06,3,1,13.06,9,1
21-Feb-20,07.40,11,2,08.05,10,2,08.58,9,2,17.26,11,1,23.41,9,2,21.08,12,2,03.07,10,2,13.03,3,1,13.03,9,1
22-Feb-20,08.41,11,2,20.22,10,2,09.40,9,2,16.43,11,1,23.53,9,2,22.17,12,2,03.13,10,2,12.57,3,1,12.57,9,1
23-Feb-20,09.41,11,2,02.32,11,2,10.21,9,2,15.52,11,1,24.05,9,2,23.25,12,2,03.20,10,2,12.49,3,1,12.49,9,1
24-Feb-20,10.42,11,2,14.35,11,2,11.02,9,2,14.56,11,1,24.17,9,2,24.33,12,2,03.26,10,2,12.38,3,1,12.38,9,1
25-Feb-20,11.42,11,2,26.33,11,2,11.44,9,2,13.55,11,1,24.28,9,2,25.41,12,2,03.32,10,2,12.26,3,1,12.26,9,1
26-Feb-20,12.42,11,2,08.27,12,2,12.25,9,2,12.52,11,1,24.39,9,2,26.49,12,2,03.38,10,2,12.14,3,1,12.14,9,1
27-Feb-20,13.43,11,2,20.18,12,2,13.07,9,2,11.47,11,1,24.51,9,2,27.56,12,2,03.44,10,2,12.03,3,1,12.03,9,1
28-Feb-20,14.43,11,2,02.09,1,2,13.48,9,2,10.42,11,1,25.02,9,2,29.04,12,2,03.50,10,2,11.53,3,1,11.53,9,1
29-Feb-20,15.43,11,2,14.03,1,2,14.29,9,2,09.39,11,1,25.13,9,2,00.11,1,2,03.56,10,2,11.46,3,1,11.46,9,1
01-Mar-20,16.44,11,2,26.04,1,2,15.11,9,2,08.40,11,1,25.24,9,2,01.18,1,2,04.02,10,2,11.41,3,1,11.41,9,1
02-Mar-20,17.44,11,2,08.15,2,2,15.52,9,2,07.44,11,1,25.35,9,2,02.24,1,2,04.07,10,2,11.39,3,1,11.39,9,1
03-Mar-20,18.44,11,2,20.41,2,2,16.34,9,2,06.54,11,1,25.46,9,2,03.31,1,2,04.13,10,2,11.39,3,1,11.39,9,1
04-Mar-20,19.44,11,2,03.28,3,2,17.15,9,2,06.10,11,1,25.57,9,2,04.37,1,2,04.19,10,2,11.39,3,1,11.39,9,1
05-Mar-20,20.44,11,2,16.40,3,2,17.57,9,2,05.32,11,1,26.08,9,2,05.43,1,2,04.25,10,2,11.39,3,1,11.39,9,1
06-Mar-20,21.44,11,2,00.20,4,2,18.38,9,2,05.01,11,1,26.19,9,2,06.49,1,2,04.30,10,2,11.38,3,1,11.38,9,1
07-Mar-20,22.44,11,2,14.30,4,2,19.20,9,2,04.37,11,1,26.29,9,2,07.54,1,2,04.36,10,2,11.34,3,1,11.34,9,1
08-Mar-20,23.44,11,2,29.09,4,2,20.01,9,2,04.19,11,1,26.39,9,2,09.00,1,2,04.41,10,2,11.28,3,1,11.28,9,1
09-Mar-20,24.44,11,2,14.11,5,2,20.43,9,2,04.09,11,1,26.50,9,2,10.05,1,2,04.47,10,2,11.19,3,1,11.19,9,1
10-Mar-20,25.44,11,2,29.27,5,2,21.24,9,2,04.04,11,1,27.00,9,2,11.09,1,2,04.52,10,2,11.08,3,1,11.08,9,1
11-Mar-20,26.44,11,2,14.46,6,2,22.06,9,2,04.07,11,2,27.10,9,2,12.14,1,2,04.57,10,2,10.57,3,1,10.57,9,1
12-Mar-20,27.44,11,2,29.57,6,2,22.47,9,2,04.15,11,2,27.20,9,2,13.18,1,2,05.02,10,2,10.47,3,1,10.47,9,1
13-Mar-20,28.44,11,2,14.50,7,2,23.29,9,2,04.29,11,2,27.30,9,2,14.21,1,2,05.08,10,2,10.39,3,1,10.39,9,1
14-Mar-20,29.44,11,2,29.18,7,2,24.11,9,2,04.48,11,2,27.40,9,2,15.25,1,2,05.13,10,2,10.34,3,1,10.34,9,1
15-Mar-20,00.44,12,2,13.18,8,2,24.52,9,2,05.12,11,2,27.50,9,2,16.28,1,2,05.18,10,2,10.31,3,1,10.31,9,1
16-Mar-20,01.43,12,2,26.51,8,2,25.34,9,2,05.41,11,2,27.59,9,2,17.31,1,2,05.23,10,2,10.30,3,1,10.30,9,1
17-Mar-20,02.43,12,2,09.58,9,2,26.16,9,2,06.15,11,2,28.09,9,2,18.33,1,2,05.28,10,2,10.30,3,1,10.30,9,1
18-Mar-20,03.43,12,2,22.44,9,2,26.57,9,2,06.53,11,2,28.18,9,2,19.35,1,2,05.32,10,2,10.30,3,1,10.30,9,1
19-Mar-20,04.43,12,2,05.13,10,2,27.39,9,2,07.35,11,2,28.27,9,2,20.37,1,2,05.37,10,2,10.28,3,1,10.28,9,1
20-Mar-20,05.42,12,2,17.28,10,2,28.21,9,2,08.20,11,2,28.36,9,2,21.39,1,2,05.42,10,2,10.23,3,1,10.23,9,1
21-Mar-20,06.42,12,2,29.35,10,2,29.02,9,2,09.09,11,2,28.45,9,2,22.40,1,2,05.46,10,2,10.16,3,1,10.16,9,1
22-Mar-20,07.41,12,2,11.34,11,2,29.44,9,2,10.02,11,2,28.54,9,2,23.40,1,2,05.51,10,2,10.06,3,1,10.06,9,1
23-Mar-20,08.41,12,2,23.30,11,2,00.26,10,2,10.57,11,2,29.03,9,2,24.41,1,2,05.55,10,2,09.53,3,1,09.53,9,1
24-Mar-20,09.41,12,2,05.23,12,2,01.07,10,2,11.55,11,2,29.11,9,2,25.40,1,2,06.00,10,2,09.38,3,1,09.38,9,1
25-Mar-20,10.40,12,2,17.15,12,2,01.49,10,2,12.56,11,2,29.20,9,2,26.40,1,2,06.04,10,2,09.24,3,1,09.24,9,1
26-Mar-20,11.39,12,2,29.07,12,2,02.31,10,2,14.00,11,2,29.28,9,2,27.39,1,2,06.08,10,2,09.09,3,1,09.09,9,1
27-Mar-20,12.39,12,2,11.01,1,2,03.12,10,2,15.06,11,2,29.36,9,2,28.37,1,2,06.13,10,2,08.57,3,1,08.57,9,1
28-Mar-20,13.38,12,2,22.59,1,2,03.54,10,2,16.14,11,2,29.45,9,2,29.35,1,2,06.17,10,2,08.48,3,1,08.48,9,1
29-Mar-20,14.38,12,2,05.02,2,2,04.36,10,2,17.25,11,2,29.53,9,2,00.33,2,2,06.21,10,2,08.41,3,1,08.41,9,1
30-Mar-20,15.37,12,2,17.15,2,2,05.17,10,2,18.37,11,2,00.00,10,2,01.30,2,2,06.25,10,2,08.37,3,1,08.37,9,1
31-Mar-20,16.36,12,2,29.41,2,2,05.59,10,2,19.52,11,2,00.08,10,2,02.27,2,2,06.28,10,2,08.36,3,1,08.36,9,1
01-Apr-20,17.35,12,2,12.25,3,2,06.41,10,2,21.09,11,2,00.16,10,2,03.23,2,2,06.32,10,2,08.36,3,1,08.36,9,1
02-Apr-20,18.35,12,2,25.31,3,2,07.23,10,2,22.27,11,2,00.23,10,2,04.18,2,2,06.36,10,2,08.36,3,1,08.36,9,1
03-Apr-20,19.34,12,2,09.02,4,2,08.04,10,2,23.48,11,2,00.30,10,2,05.13,2,2,06.39,10,2,08.34,3,1,08.34,9,1
04-Apr-20,20.33,12,2,23.02,4,2,08.46,10,2,25.10,11,2,00.37,10,2,06.07,2,2,06.43,10,2,08.31,3,1,08.31,9,1
05-Apr-20,21.32,12,2,07.31,5,2,09.28,10,2,26.34,11,2,00.44,10,2,07.01,2,2,06.46,10,2,08.25,3,1,08.25,9,1
06-Apr-20,22.31,12,2,22.24,5,2,10.09,10,2,28.00,11,2,00.51,10,2,07.54,2,2,06.50,10,2,08.17,3,1,08.17,9,1
07-Apr-20,23.30,12,2,07.36,6,2,10.51,10,2,29.27,11,2,00.58,10,2,08.46,2,2,06.53,10,2,08.07,3,1,08.07,9,1
08-Apr-20,24.29,12,2,22.56,6,2,11.33,10,2,00.56,12,2,01.04,10,2,09.37,2,2,06.56,10,2,07.56,3,1,07.56,9,1
09-Apr-20,25.28,12,2,08.13,7,2,12.14,10,2,02.27,12,2,01.10,10,2,10.28,2,2,06.59,10,2,07.46,3,1,07.46,9,1
10-Apr-20,26.27,12,2,23.16,7,2,12.56,10,2,03.59,12,2,01.17,10,2,11.18,2,2,07.02,10,2,07.38,3,1,07.38,9,1
11-Apr-20,27.26,12,2,07.55,8,2,13.38,10,2,05.33,12,2,01.23,10,2,12.08,2,2,07.05,10,2,07.33,3,1,07.33,9,1
12-Apr-20,28.25,12,2,22.07,8,2,14.20,10,2,07.08,12,2,01.29,10,2,12.56,2,2,07.08,10,2,07.30,3,1,07.30,9,1
13-Apr-20,29.23,12,2,05.49,9,2,15.01,10,2,08.45,12,2,01.34,10,2,13.44,2,2,07.11,10,2,07.29,3,1,07.29,9,1
14-Apr-20,00.22,1,2,19.03,9,2,15.43,10,2,10.24,12,2,01.40,10,2,14.31,2,2,07.13,10,2,07.29,3,1,07.29,9,1
15-Apr-20,01.21,1,2,01.52,10,2,16.25,10,2,12.04,12,2,01.45,10,2,15.17,2,2,07.16,10,2,07.30,3,1,07.30,9,1
16-Apr-20,02.20,1,2,14.21,10,2,17.06,10,2,13.46,12,2,01.51,10,2,16.02,2,2,07.18,10,2,07.29,3,1,07.29,9,1
17-Apr-20,03.18,1,2,26.34,10,2,17.48,10,2,15.29,12,2,01.56,10,2,16.46,2,2,07.21,10,2,07.26,3,1,07.26,9,1
18-Apr-20,04.17,1,2,08.37,11,2,18.30,10,2,17.14,12,2,02.01,10,2,17.29,2,2,07.23,10,2,07.21,3,1,07.21,9,1
19-Apr-20,05.16,1,2,20.32,11,2,19.11,10,2,19.01,12,2,02.05,10,2,18.11,2,2,07.25,10,2,07.13,3,1,07.13,9,1
20-Apr-20,06.14,1,2,02.24,12,2,19.53,10,2,20.49,12,2,02.10,10,2,18.52,2,2,07.27,10,2,07.04,3,1,07.04,9,1
21-Apr-20,07.13,1,2,14.15,12,2,20.35,10,2,22.39,12,2,02.14,10,2,19.32,2,2,07.29,10,2,06.53,3,1,06.53,9,1
22-Apr-20,08.11,1,2,26.08,12,2,21.16,10,2,24.30,12,2,02.19,10,2,20.10,2,2,07.31,10,2,06.41,3,1,06.41,9,1
